Date,2017-03,2017-04,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-11,2018-12,Sum
Sum,62,8,133,188,3,37,78,253,75,186,32,98,25,4,176,888,292,2538
State of Michigan Open Data Portal,62,,133,165,,6,14,13,18,80,2,4,2,,73,5,8,585
SEMCOG,,8,,,,4,,,,9,,,,,1,,,22
Maryland iMap,,,,11,3,2,1,1,1,1,9,1,4,,3,5,3,45
IowaDOT,,,,10,,19,3,1,4,,1,8,,,,203,16,265
District of Columbia Open Data,,,,2,,,49,225,17,2,5,5,3,,26,137,33,504
Michigan DNR,,,,,,6,11,13,15,77,2,1,2,,73,retired from portal,,200
GeOhio,,,,,,,,,20,16,7,78,12,4,,174,20,331
Baltimore Open Data,,,,,,,,,,1,,,,,,,,1
Indianapolis Open Data,,,,,,,,,,,6,1,2,,,,2,11
Minneapolis Open Data,,,,,,,,,,,,,,,,,16,16
Cuyahoga County,,,,,,,,,,,,,,,,,2,2
Dauphin County GIS Data Portal,,,,,,,,,,,,,,,,,1,1
Delaware Valley,,,,,,,,,,,,,,,,,1,1
Harford County GIS Data,,,,,,,,,,,,,,,,,33,33
Lake County Illinois Open Data Portal,,,,,,,,,,,,,,,,362,156,518
Peoria County GIS Open Data Portal,,,,,,,,,,,,,,,,,1,1
"Washington County, MN",,,,,,,,,,,,,,,,2,,2
